City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
303,saint-philippe,-21.3585,55.7679,293.92,71,52,7.28,RE,1715134941
304,hasaki,35.7333,140.8333,295.37,79,100,7.22,JP,1715135023
305,sosnogorsk,63.6023,53.8817,264.01,98,100,1.79,RU,1715135348
306,taulaga,-11.0553,-171.0883,302.97,73,99,3.09,AS,1715135348
307,nouadhibou,20.931,-17.0347,291.14,94,42,5.66,MR,1715135030
308,nemuro,43.3236,145.575,276.22,86,100,8.08,JP,1715134918
309,volkhov,59.9258,32.3382,271.07,69,100,3.87,RU,1715135349
310,terbuny,52.1389,38.2789,274.75,83,70,6.05,RU,1715135349
311,pendleton,45.6721,-118.7886,288.28,50,0,11.83,US,1715135161
312,shingu,33.7333,135.9833,295.07,50,27,0.94,JP,1715134910
313,colonia,50.9333,6.95,286.51,88,40,1.03,DE,1715134890
314,tougue,11.4667,-11.6,298.62,58,9,2.4,GN,1715135350
315,bonthe,7.5264,-12.505,300.71,85,67,1.59,SL,1715135019
316,saudarkrokur,65.7461,-19.6394,276.14,76,35,5.71,IS,1715135351
317,sovetskaya gavan',48.9723,140.2878,282.65,40,5,3.64,RU,1715135351
318,melilla,35.2937,-2.9383,291.36,82,100,3.09,ES,1715135351
319,vilyuysk,63.7553,121.6247,275.93,85,100,4.47,RU,1715135351
320,labytnangi,66.6572,66.4183,263.92,90,32,3.85,RU,1715134957
321,sitka,57.0531,-135.33,281.09,71,100,6.69,US,1715134993
322,kulhudhuffushi,6.6221,73.07,302.66,73,95,5.59,MV,1715135046
323,kiskunmajsa,46.4903,19.74,287.54,95,100,3.06,HU,1715135352
324,berdigestyakh,62.0989,126.6992,275.8,77,100,4.77,RU,1715135013
325,bakchar,57.0186,82.0711,282.23,83,37,4.29,RU,1715135353
326,kill devil hills,36.0307,-75.676,296.47,91,0,3.09,US,1715135243
327,sanming,26.2486,117.6186,299.74,63,100,1.13,CN,1715135354
328,parli vaijnath,18.85,76.5333,304.07,44,0,3.12,IN,1715135354
329,selfoss,63.9331,-20.9971,275.4,74,39,2.87,IS,1715135354
330,amga,60.8953,131.9608,280.03,62,100,3.06,RU,1715135354
331,klaksvik,62.2266,-6.589,280.66,83,100,9.2,FO,1715134999
332,mongo,12.1844,18.693,304.42,10,97,1.45,TD,1715135355
333,perry,37.2506,-83.1999,298.25,84,100,2.92,US,1715135355
334,ko pha ngan,9.7578,100.0291,304.53,67,100,4.24,TH,1715135355
335,cabedelo,-6.9811,-34.8339,299.52,83,83,3.56,BR,1715134991
336,raja,8.4596,25.678,300.31,39,4,1.3,SS,1715135037
337,yarmouth,41.7057,-70.2286,286.84,94,100,2.57,US,1715135356
338,sarai,53.7458,41.0213,274.24,88,69,6.4,RU,1715135356
339,cherepovets,59.1333,37.9,273.03,74,0,1.0,RU,1715135357
340,klyuchi,52.2667,79.1667,286.56,69,3,4.2,RU,1715134960
341,ketchikan,55.3422,-131.6461,282.41,66,100,8.75,US,1715135357
342,walvis bay,-22.9575,14.5053,287.64,88,0,2.06,NA,1715135357
343,san clemente del tuyu,-36.3569,-56.7235,289.81,99,100,1.49,AR,1715135357
344,dzhalagash,45.0833,64.6667,294.12,45,100,7.7,KZ,1715135358
345,vicosa,-20.7539,-42.8819,291.49,86,0,1.56,BR,1715135358
346,mount pearl,47.5166,-52.7813,279.44,97,100,1.54,CA,1715135358
347,afaahiti,-17.75,-149.2833,301.08,78,98,6.81,PF,1715134932
348,peterhead,57.5058,-1.7981,281.37,92,100,5.96,GB,1715135359
349,marathon,44.9,-89.7668,285.89,91,100,1.54,US,1715135174
350,colac,-38.3333,143.5833,290.47,57,52,3.2,AU,1715135359
351,muynoq,43.7683,59.0214,293.25,71,100,4.36,UZ,1715135360
352,las khorey,11.1595,48.1967,303.26,77,5,2.85,SO,1715135360
353,silifke,36.3778,33.9344,290.61,54,0,3.92,TR,1715135360
354,garissa,-0.4536,39.6401,298.77,73,100,5.87,KE,1715135360
355,kattivakkam,13.2167,80.3167,302.65,77,73,2.72,IN,1715135361
356,sinjai,-5.1241,120.253,301.66,77,6,1.98,ID,1715135361
357,fonte boa,-2.4959,-66.2662,296.87,96,17,1.34,BR,1715135361
358,borzya,50.3833,116.5167,286.19,29,39,11.76,RU,1715135361
359,dickinson,29.4608,-95.0513,299.88,90,20,3.09,US,1715135144
360,ghanzi,-21.5667,21.7833,294.83,33,74,2.89,BW,1715135362
361,russellville,35.2784,-93.1338,297.23,69,0,1.54,US,1715135228
362,trincomalee,8.5711,81.2335,301.65,78,73,2.89,LK,1715135362
